==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 58 (/usr/bin/python3.12)
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","20.49"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","17.54"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","84.22"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","137.34"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","34.33"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","","161544"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","53.04"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","7.27"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","byte/s","566210970464.14"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","11.70"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","11.54"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","0"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","","36474"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","50.78"
"2","58","python3.12","127.0.0.1","nvjet_tst_16x64_64x16_4x2_h_bz_TNN","1","7","(384, 1, 1)","(8, 10, 1)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","5.80"
